parastatal,year,capital expenditure,recurrent expenditure,allocation
MINISTRY OF FOREIGN AFFAIRS,2017,10291783534,56424094037,66715877571
FEDERAL MINISTRY OF INFORMATION & CULTURE,2017,9546245041,40821093321,50367338362
MINISTRY OF INTERIOR,2017,63760562487,472597817561,536358380048
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2017,1974176735,6652280969,8626457704
AUDITOR GENERAL FOR THE FEDERATION,2017,90509818,2693253521,2783763339
MINISTRY OF COMMUNICATION TECHNOLOGY,2017,8434669142,11192782734,19627451876
OFFICE OF THE NATIONAL SECURITY ADVISER,2017,47209203765,76281025653,123490229418
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2017,34310245,884624464,918934709
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2017,32778490342,51933366906,84711857248
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2017,103793201010,31752144051,135545345061
FEDERAL MINISTRY OF FINANCE,2017,5181348624,9521555393,14702904017
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2017,81726971059,10797165779,92524136838
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2017,8803520400,8626186611,17429707011
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2017,41699655490,27785074208,69484729698
FEDERAL MINISTRY OF TRANSPORTATION,2017,241709000000,14810103581,256519103581
"FEDERAL MINISTRY OF  POWER, WORKS & HOUSING",2017,553713857113,32821929055,586535786168
MINISTRY OF PETROLEUM RESOURCES,2017,6793128647,63222101051,70015229698
MINISTRY OF MINES AND STEEL DEVELOPMENT,2017,12455000000,10385055182,22840055182
MINISTRY OF BUDGET AND NATIONAL PLANNING,2017,4092773627,8843198998,12935972625
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2017,163121916,631503868,794625784
FISCAL RESPONSIBILITY COMMISSION,2017,148155391,332848038,481003429
FEDERAL MINISTRY OF WATER RESOURCES,2017,104245803117,7301176944,111546980061
FEDERAL MINISTRY OF JUSTICE,2017,12705755001,21038344711,33744099712
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2017,767865170,5159640131,5927505301
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2017,,,0
MINISTRY OF NIGER DELTA AFFAIRS,2017,34201500001,1764382365,35965882366
FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,2017,5441000000,89316015167,94757015167
FEDERAL MINISTRY OF WOMEN AFFAIRS,2017,4250732000,1466534201,5717266201
FEDERAL MINISTRY OF EDUCATION,2017,56720969147,398686819418,455407788565
FEDERAL MINISTRY OF HEALTH,2017,55609880120,252854396662,308464276782
FEDERAL MINISTRY OF ENVIRONMENT,2017,12479369455,16108983841,28588353296
NATIONAL POPULATION COMMISSION,2017,,,0
,,,,
PRESIDENCY,2016,,,39124978809
MINISTRY OF DEFENCE,2016,,,429098182742
MINISTRY OF FOREIGN AFFAIRS,2016,,,49526208900
FEDERAL MINISTRY OF INFORMATION & CULTURE,2016,,,45162778886
MINISTRY OF INTERIOR,2016,,,498453097241
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2016,,,8042152611
AUDITOR GENERAL FOR THE FEDERATION,2016,,,2996054797
MINISTRY OF COMMUNICATION TECHNOLOGY,2016,,,15997128516
OFFICE OF THE NATIONAL SECURITY ADVISER,2016,,,90350068052
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2016,,,897835007
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2016,,,62358813315
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2016,,,76753672273
FEDERAL MINISTRY OF FINANCE,2016,,,1486512101558
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2016,,,16682662867
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2016,,,13397589915
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2016,,,53743337717
FEDERAL MINISTRY OF TRANSPORTATION,2016,,,215797393980
"FEDERAL MINISTRY OF  POWER, WORKS & HOUSING",2016,,,467645043369
MINISTRY OF PETROLEUM RESOURCES,2016,,,62115123639
MINISTRY OF MINES AND STEEL DEVELOPMENT,2016,,,18625703622
MINISTRY OF BUDGET AND NATIONAL PLANNING,2016,,,1156332146233
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2016,,,811119532
FISCAL RESPONSIBILITY COMMISSION,2016,,,494065768
FEDERAL MINISTRY OF WATER RESOURCES,2016,,,44206418733
FEDERAL MINISTRY OF JUSTICE,2016,,,20046291016
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2016,,,4618378795
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2016,,,37756697983
MINISTRY OF NIGER DELTA AFFAIRS,2016,,,67382596554
FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,2016,,,75476387061
FEDERAL MINISTRY OF WOMEN AFFAIRS,2016,,,3974395038
FEDERAL MINISTRY OF EDUCATION,2016,,,483666376895
FEDERAL MINISTRY OF HEALTH,2016,,,257382151746
FEDERAL MINISTRY OF ENVIRONMENT,2016,,,19678214892
NATIONAL POPULATION COMMISSION,2016,,,9976786028
,,,,
PRESIDENCY,2015,,,24473865117
MINISTRY OF DEFENCE,2015,,,375497219431
MINISTRY OF FOREIGN AFFAIRS,2015,,,48149382166
FEDERAL MINISTRY OF INFORMATION,2015,,,24145474427
"FEDERAL MINISTRY OF TOURISM, CULTURE & NATIONAL ORIENTATION",2015,,,18531478935
